x_coord,y_coord,z_coord,grid_name,ghp_tree
13.07345,-8.01503,0.1,{12},grid12_short_grass
13.07345,-6.01127,0.1,{12},grid12_short_grass
13.07345,-4.00751,0.1,{12},grid12_short_grass
13.07345,-2.00376,0.1,{12},grid12_short_grass
13.07345,0.0,0.1,{12},grid12_short_grass
13.07345,2.00376,0.1,{12},grid12_short_grass
13.07345,4.00751,0.1,{12},grid12_short_grass
13.07345,6.01127,0.1,{12},grid12_short_grass
13.07345,8.01503,0.1,{12},grid12_short_grass
13.07345,10.01879,0.1,{12},grid12_short_grass
15.08476,-8.01503,0.1,{12},grid12_short_grass
15.08476,-6.01127,0.1,{12},grid12_short_grass
15.08476,-4.00751,0.1,{12},grid12_short_grass
15.08476,-2.00376,0.1,{12},grid12_short_grass
15.08476,0.0,0.1,{12},grid12_short_grass
15.08476,2.00376,0.1,{12},grid12_short_grass
15.08476,4.00751,0.1,{12},grid12_short_grass
15.08476,6.01127,0.1,{12},grid12_short_grass
15.08476,8.01503,0.1,{12},grid12_short_grass
15.08476,10.01879,0.1,{12},grid12_short_grass
17.09606,-10.01879,0.1,{12},grid12_short_grass
17.09606,-8.01503,0.1,{12},grid12_short_grass
17.09606,-6.01127,0.1,{12},grid12_short_grass
17.09606,-4.00751,0.1,{12},grid12_short_grass
17.09606,-2.00376,0.1,{12},grid12_short_grass
17.09606,0.0,0.1,{12},grid12_short_grass
17.09606,2.00376,0.1,{12},grid12_short_grass
17.09606,4.00751,0.1,{12},grid12_short_grass
17.09606,6.01127,0.1,{12},grid12_short_grass
17.09606,8.01503,0.1,{12},grid12_short_grass
17.09606,10.01879,0.1,{12},grid12_short_grass
19.10736,-10.01879,0.1,{12},grid12_short_grass
19.10736,-8.01503,0.1,{12},grid12_short_grass
19.10736,-6.01127,0.1,{12},grid12_short_grass
19.10736,-4.00751,0.1,{12},grid12_short_grass
19.10736,-2.00376,0.1,{12},grid12_short_grass
19.10736,0.0,0.1,{12},grid12_short_grass
19.10736,2.00376,0.1,{12},grid12_short_grass
19.10736,4.00751,0.1,{12},grid12_short_grass
19.10736,6.01127,0.1,{12},grid12_short_grass
19.10736,8.01503,0.1,{12},grid12_short_grass
19.10736,10.01879,0.1,{12},grid12_short_grass
21.11866,-12.02254,0.1,{12},grid12_short_grass
21.11866,-10.01879,0.1,{12},grid12_short_grass
21.11866,-8.01503,0.1,{12},grid12_short_grass
21.11866,-6.01127,0.1,{12},grid12_short_grass
21.11866,-4.00751,0.1,{12},grid12_short_grass
21.11866,-2.00376,0.1,{12},grid12_short_grass
21.11866,0.0,0.1,{12},grid12_short_grass
21.11866,2.00376,0.1,{12},grid12_short_grass
21.11866,4.00751,0.1,{12},grid12_short_grass
21.11866,6.01127,0.1,{12},grid12_short_grass
21.11866,8.01503,0.1,{12},grid12_short_grass
21.11866,10.01879,0.1,{12},grid12_short_grass
23.12996,-12.02254,0.1,{12},grid12_short_grass
23.12996,-10.01879,0.1,{12},grid12_short_grass
23.12996,-8.01503,0.1,{12},grid12_short_grass
23.12996,-6.01127,0.1,{12},grid12_short_grass
23.12996,-4.00751,0.1,{12},grid12_short_grass
23.12996,-2.00376,0.1,{12},grid12_short_grass
23.12996,0.0,0.1,{12},grid12_short_grass
23.12996,2.00376,0.1,{12},grid12_short_grass
25.14126,-10.01879,0.1,{12},grid12_short_grass
25.14126,-8.01503,0.1,{12},grid12_short_grass
25.14126,-6.01127,0.1,{12},grid12_short_grass
25.14126,-4.00751,0.1,{12},grid12_short_grass
25.14126,-2.00376,0.1,{12},grid12_short_grass
25.14126,0.0,0.1,{12},grid12_short_grass
25.14126,2.00376,0.1,{12},grid12_short_grass
-11.06215,-2.00376,0.1,{13},grid13_short_grass
-9.05085,-6.01127,0.1,{13},grid13_short_grass
-9.05085,-4.00751,0.1,{13},grid13_short_grass
-9.05085,-2.00376,0.1,{13},grid13_short_grass
-7.03955,-8.01503,0.1,{13},grid13_short_grass
-7.03955,-6.01127,0.1,{13},grid13_short_grass
-7.03955,-4.00751,0.1,{13},grid13_short_grass
-7.03955,-2.00376,0.1,{13},grid13_short_grass
-7.03955,0.0,0.1,{13},grid13_short_grass
-5.02825,-6.01127,0.1,{13},grid13_short_grass
